id,name,region,category,google_rating,review_count,interest_tags,station_anchor,distance_to_station_km,interest_match
41,Odori Park,Hokkaido,park,4.2,24000,nature|seasonal|walk,Sapporo Station,1.0,0.76
42,Sapporo TV Tower,Hokkaido,landmark,4.0,15000,city_view|landmark|night_view,Sapporo Station,1.0,0.69
43,Moerenuma Park,Hokkaido,park,4.4,9000,nature|art|family,Sapporo Station,10.0,0.73
44,Shiroi Koibito Park,Hokkaido,theme_park,4.2,18000,dessert|family|indoor,Sapporo Station,7.4,0.78
45,Otaru Canal,Hokkaido,landmark,4.3,31000,canal|photo|history,Sapporo Station,38.0,0.80
46,Farm Tomita,Hokkaido,nature,4.4,13000,flower|nature|seasonal,Sapporo Station,120.0,0.82
47,Noboribetsu Jigokudani,Hokkaido,nature,4.4,19000,nature|hot_spring|hiking,Sapporo Station,110.0,0.84
48,Asahiyama Zoo,Hokkaido,zoo,4.4,23000,zoo|family|nature,Sapporo Station,145.0,0.81
49,Historic Village of Hokkaido,Hokkaido,museum,4.3,6000,history|museum|culture,Sapporo Station,12.0,0.71
50,Mount Moiwa Ropeway,Hokkaido,landmark,4.3,12000,city_view|night_view|nature,Sapporo Station,6.3,0.75
51,Nara Park,Kansai,park,4.5,62000,nature|family|culture,Osaka Station,37.0,0.86
52,Todai-ji,Kansai,temple,4.6,35000,temple|history|culture,Osaka Station,38.0,0.88
53,Himeji Castle,Kansai,castle,4.6,47000,castle|history|heritage,Osaka Station,88.0,0.83
54,Miyajima Itsukushima Shrine,Chugoku,shrine,4.6,38000,shrine|coast|history,Hiroshima Station,26.0,0.86
55,Hiroshima Peace Memorial Museum,Chugoku,museum,4.6,26000,history|museum|education,Hiroshima Station,2.4,0.82
